                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7036,                  5.429,                 1.3499,                      0,                      0,                      0,                      0,                0.88651,                  5.247,                 1.0838,              2.236e-05,              2.236e-05,              2.236e-05
                      2,                 1.1575,                 5.3251,                 1.1635,                      0,                      0,                      0,                      0,                0.90302,                 5.0007,                0.90285,              4.598e-05,              4.598e-05,              4.598e-05
                      3,                0.89316,                 5.1682,                 1.0423,                      0,                      0,                      0,                      0,                0.71621,                 4.8832,                0.85277,             6.9124e-05,             6.9124e-05,             6.9124e-05
                      4,                0.76233,                 4.9692,                0.95093,                      0,                      0,                      0,                      0,                0.68607,                 4.7789,                0.84544,              9.179e-05,              9.179e-05,              9.179e-05
                      5,                 0.7284,                 4.8379,                0.91868,                0.00594,                0.01326,                 0.0046,                0.00383,                0.63169,                 4.6191,                0.84007,             0.00011398,             0.00011398,             0.00011398
                      6,                0.71623,                 4.6197,                0.90753,                0.02426,                0.12342,                0.02583,                0.02173,                0.58114,                 4.4105,                0.83694,             0.00013569,             0.00013569,             0.00013569
                      7,                0.66262,                 4.4993,                 0.9014,                0.01513,                0.16741,                 0.0293,                0.02533,                 0.5594,                 4.2983,                0.84578,             0.00015693,             0.00015693,             0.00015693
                      8,                 0.6507,                 4.4202,                0.88055,                0.01591,                0.23491,                 0.0391,                0.03342,                0.55894,                 4.1908,                0.85005,             0.00016008,             0.00016008,             0.00016008
                      9,                0.62666,                 4.2003,                0.88568,                0.01499,                0.24758,                0.03956,                0.03324,                0.58519,                 4.1018,                   0.85,             0.00016008,             0.00016008,             0.00016008
                     10,                0.65207,                 4.1379,                0.88327,                0.01503,                0.25649,                0.04735,                0.04176,                0.55535,                 4.0029,                0.84747,             0.00015838,             0.00015838,             0.00015838
                     11,                0.62845,                 4.0549,                0.88502,                0.39352,                0.13337,                0.05497,                0.04796,                0.53013,                 3.8902,                0.84926,             0.00015667,             0.00015667,             0.00015667
                     12,                0.60202,                 3.9814,                0.88225,                0.64707,                0.05885,                0.07146,                0.06204,                0.50647,                 3.7697,                 0.8515,             0.00015497,             0.00015497,             0.00015497
                     13,                0.60047,                 3.9351,                0.87572,                0.66846,                0.06418,                 0.0885,                0.07905,                0.49191,                 3.6522,                0.85777,             0.00015327,             0.00015327,             0.00015327
                     14,                0.60745,                 3.6761,                0.88479,                0.64696,                0.08625,                0.10636,                0.09444,                0.50136,                 3.4361,                0.86882,             0.00015157,             0.00015157,             0.00015157
                     15,                0.59294,                 3.6863,                0.87681,                  0.657,                0.09954,                0.11617,                0.10289,                0.47794,                 3.2592,                0.87122,             0.00014986,             0.00014986,             0.00014986
                     16,                0.58912,                 3.4885,                0.88271,                 0.7242,                0.13027,                0.12903,                0.11584,                0.47092,                  2.997,                0.87169,             0.00014816,             0.00014816,             0.00014816
                     17,                0.57949,                 3.4151,                0.87803,                0.79209,                  0.127,                0.13723,                0.12247,                0.48478,                  2.843,                0.87564,             0.00014646,             0.00014646,             0.00014646
                     18,                0.56276,                 3.1704,                0.87571,                0.82445,                0.13161,                0.16069,                0.14572,                  0.459,                 2.6988,                0.87355,             0.00014476,             0.00014476,             0.00014476
                     19,                0.58592,                 3.3511,                0.86473,                0.82137,                0.14858,                0.17116,                0.15489,                0.45513,                 2.6643,                0.87179,             0.00014305,             0.00014305,             0.00014305
                     20,                 0.5452,                 3.0378,                0.87767,                0.74937,                0.17101,                0.18067,                0.16307,                0.46886,                 2.6025,                0.86854,             0.00014135,             0.00014135,             0.00014135
                     21,                0.56048,                 2.9693,                0.87949,                0.90505,                0.15868,                0.18426,                0.16629,                  0.473,                 2.4811,                0.86722,             0.00013965,             0.00013965,             0.00013965
                     22,                0.56046,                 2.9346,                0.87298,                0.81068,                0.18677,                0.20086,                0.18335,                0.42747,                 2.4098,                0.86452,             0.00013794,             0.00013794,             0.00013794
                     23,                0.56215,                 2.8882,                0.87303,                0.82639,                0.19175,                0.20938,                0.19099,                0.44054,                 2.3602,                0.86679,             0.00013624,             0.00013624,             0.00013624
                     24,                0.55628,                 2.7791,                0.87432,                0.91789,                0.19322,                0.24053,                0.22059,                0.42144,                 2.1115,                0.86475,             0.00013454,             0.00013454,             0.00013454
                     25,                 0.5339,                 2.6701,                0.87315,                0.94283,                0.18843,                0.27927,                0.25913,                0.42142,                 2.0481,                0.86144,             0.00013284,             0.00013284,             0.00013284
                     26,                0.56037,                 2.5305,                0.87407,                0.84242,                0.22763,                0.28763,                0.26767,                0.41302,                 1.9855,                0.86094,             0.00013113,             0.00013113,             0.00013113
                     27,                0.54323,                 2.4387,                 0.8853,                0.83386,                 0.2508,                0.29894,                0.27539,                0.42555,                 1.9555,                0.86331,             0.00012943,             0.00012943,             0.00012943
