                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3549,                 1.4574,                 1.1873,                0.94332,                0.96459,                0.97351,                0.67824,                 1.0016,                0.81206,                 1.0236,             0.00054104,             0.00054104,             0.00054104
                      1,                 1.0651,                0.63795,                 1.0305,                 0.9512,                0.94313,                0.96126,                0.69176,                  1.072,                0.70399,                 1.0507,              0.0010424,              0.0010424,              0.0010424
                      2,                 1.0545,                0.62775,                 1.0259,                0.96833,                0.98843,                0.98658,                0.72943,                0.95382,                0.59351,                 1.0184,              0.0014888,              0.0014888,              0.0014888
                      3,                 1.0229,                0.60446,                 1.0219,                0.98303,                0.99335,                0.99367,                 0.7418,                0.97753,                0.58691,                 1.0502,              0.0014195,              0.0014195,              0.0014195
                      4,                 1.0179,                0.58353,                 1.0104,                0.99045,                0.98925,                0.99228,                0.73999,                0.98031,                0.52878,                 1.0158,              0.0014195,              0.0014195,              0.0014195
                      5,                  1.007,                0.55852,                 1.0227,                0.99467,                0.98987,                0.99214,                0.75361,                0.94018,                 0.5036,                  1.017,              0.0013369,              0.0013369,              0.0013369
                      6,                0.99697,                0.54892,                 1.0103,                0.99292,                0.98323,                0.98975,                 0.7483,                0.92658,                0.48553,                0.99984,              0.0012544,              0.0012544,              0.0012544
                      7,                0.97022,                0.52589,                 1.0109,                0.98696,                0.99199,                0.98982,                0.76593,                0.91292,                0.46346,                0.98577,              0.0011719,              0.0011719,              0.0011719
                      8,                0.97172,                0.51993,                 1.0018,                 0.9916,                0.99406,                0.99176,                0.76769,                  0.918,                0.45712,                 0.9821,              0.0010894,              0.0010894,              0.0010894
                      9,                0.96874,                0.51543,                0.98923,                0.98074,                 0.9929,                 0.9924,                0.76589,                0.90404,                0.43795,                 1.0025,              0.0010069,              0.0010069,              0.0010069
                     10,                0.89051,                0.46803,                0.98827,                0.98396,                0.98811,                0.98931,                0.76389,                0.88525,                0.47234,                0.98287,             0.00092435,             0.00092435,             0.00092435
                     11,                0.89306,                0.45119,                  0.988,                 0.9934,                 0.9924,                0.99038,                0.76166,                0.88201,                0.43668,                0.98867,             0.00084184,             0.00084184,             0.00084184
                     12,                0.88495,                0.45604,                 0.9858,                0.99323,                0.99316,                0.99359,                0.77801,                0.87558,                0.42981,                0.97996,             0.00075932,             0.00075932,             0.00075932
                     13,                0.86679,                0.43792,                0.97796,                0.99385,                0.99444,                0.99148,                0.79573,                0.87503,                 0.4092,                0.97142,              0.0006768,              0.0006768,              0.0006768
                     14,                0.86061,                 0.4275,                0.97574,                0.99445,                0.99484,                 0.9939,                 0.8004,                0.85383,                 0.3926,                0.97284,             0.00059429,             0.00059429,             0.00059429
                     15,                0.85092,                0.41116,                0.97787,                0.99388,                0.99535,                0.99341,                0.80651,                0.83714,                0.38295,                0.96142,             0.00051177,             0.00051177,             0.00051177
                     16,                0.82965,                0.39821,                0.97307,                0.99244,                0.99397,                0.99362,                0.79554,                 0.8551,                0.38775,                0.97248,             0.00042925,             0.00042925,             0.00042925
                     17,                0.82272,                0.39472,                0.96999,                0.99293,                 0.9948,                 0.9905,                0.78988,                0.85281,                0.37249,                0.97091,             0.00034674,             0.00034674,             0.00034674
                     18,                0.82615,                  0.393,                0.97703,                0.99331,                0.99592,                0.99174,                0.79681,                  0.844,                0.37596,                0.96657,             0.00026422,             0.00026422,             0.00026422
                     19,                0.81896,                0.38583,                0.96756,                 0.9939,                0.99422,                0.99045,                0.80259,                0.82733,                 0.3611,                0.95983,              0.0001817,              0.0001817,              0.0001817
