                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3091,                0.87385,                 1.1213,                0.91536,                0.86773,                0.90379,                0.53876,                 1.4651,                0.81839,                 1.1767,             0.00066616,             0.00066616,             0.00066616
                      1,                 1.2868,                0.74127,                 1.1271,                0.93715,                0.88823,                0.92117,                0.52326,                 1.5131,                0.73595,                 1.2042,              0.0012669,              0.0012669,              0.0012669
                      2,                 1.2614,                0.69825,                 1.1228,                0.94999,                0.89997,                0.92918,                0.54121,                 1.4946,                0.67017,                 1.2148,              0.0018015,              0.0018015,              0.0018015
                      3,                 1.2283,                0.66699,                 1.1124,                 0.9682,                0.91398,                0.94981,                0.61131,                 1.2919,                0.58601,                 1.1087,               0.001703,               0.001703,               0.001703
                      4,                 1.2071,                0.64368,                 1.1063,                0.96399,                 0.9151,                0.95183,                0.60516,                 1.2973,                0.57299,                 1.1185,               0.001703,               0.001703,               0.001703
                      5,                 1.1757,                0.61714,                 1.0912,                0.96661,                0.92324,                0.95492,                0.61837,                 1.3093,                  0.558,                 1.1183,               0.001604,               0.001604,               0.001604
                      6,                 1.1596,                0.59272,                 1.0901,                0.96925,                0.92636,                0.96087,                0.62616,                 1.2746,                0.52589,                 1.1091,               0.001505,               0.001505,               0.001505
                      7,                 1.1427,                0.57222,                 1.0785,                0.97057,                 0.9334,                0.96173,                 0.6304,                 1.2408,                0.51122,                 1.0911,               0.001406,               0.001406,               0.001406
                      8,                 1.1242,                0.56122,                 1.0711,                0.97274,                0.93723,                0.96094,                0.63013,                   1.25,                0.49965,                 1.0834,               0.001307,               0.001307,               0.001307
                      9,                 1.1015,                0.54551,                 1.0628,                0.96821,                0.92855,                0.96044,                0.64439,                 1.2184,                0.48326,                 1.0782,               0.001208,               0.001208,               0.001208
                     10,                 1.0968,                 0.4883,                 1.0874,                0.97477,                0.93199,                0.96478,                0.65439,                 1.1998,                0.47661,                 1.0762,               0.001109,               0.001109,               0.001109
                     11,                 1.0775,                0.47027,                 1.0848,                0.97302,                0.94043,                0.96057,                0.65986,                 1.1875,                0.46781,                 1.0663,                0.00101,                0.00101,                0.00101
                     12,                 1.0585,                0.45518,                 1.0759,                0.98324,                0.93554,                0.96633,                0.67389,                 1.1454,                0.45259,                 1.0508,               0.000911,               0.000911,               0.000911
                     13,                 1.0392,                0.44076,                 1.0654,                0.98653,                0.93715,                0.97019,                0.67944,                 1.1265,                0.45003,                 1.0434,               0.000812,               0.000812,               0.000812
                     14,                   1.03,                0.42996,                 1.0609,                 0.9797,                0.94231,                0.96707,                0.68026,                 1.1305,                0.43671,                 1.0426,               0.000713,               0.000713,               0.000713
                     15,                 1.0163,                0.41679,                  1.057,                0.98141,                0.94073,                0.96707,                0.68553,                 1.1148,                0.43403,                 1.0405,               0.000614,               0.000614,               0.000614
                     16,                 1.0002,                0.40668,                 1.0443,                0.98693,                0.93902,                0.97048,                0.68812,                 1.1161,                0.42434,                 1.0388,               0.000515,               0.000515,               0.000515
                     17,                0.98579,                0.39434,                 1.0391,                0.98121,                0.94325,                0.96932,                0.68893,                 1.1131,                0.41518,                 1.0372,               0.000416,               0.000416,               0.000416
                     18,                0.97168,                0.38561,                 1.0318,                0.98386,                 0.9434,                0.96914,                 0.6903,                 1.1142,                0.41108,                 1.0362,               0.000317,               0.000317,               0.000317
                     19,                0.96106,                0.37635,                 1.0287,                0.98156,                0.94465,                0.97117,                0.69276,                 1.1142,                0.41004,                 1.0351,               0.000218,               0.000218,               0.000218
